№ документа,"Дата
реєстрації",Адресати,Короткий зміст
3044/23/06-1,2025-12-08,Міністерство культури України,Про виконання зведеного плану використання бюджетних коштів з урахуванням внесених змін за КПКВ 3802020.
3045/32/04,2025-12-08,Департамент (Центр) надання адміністративних послуг виконавчого органу Київської міської ради (Київської міської державної адміністрації),Про порушення строків надання адміністративних послуг.
3046/23/06-1,2025-12-09,Міністерство культури України,Прохання відкрити фінансування на грудень за загальним фондом бюджетної програми КПКВ 3802080 «Фінансова підтримка Національної суспільної телерадіокомпанії України».
3047/09/10,2025-12-09,"АТ ""Національна суспільна телерадіокомпанія України""",Направляється наказ Держкомтелерадіо від 05.12.2025 № 123 «Про передачу в оренду (найм) нерухомого майна АТ «НСТУ».
3048/17/03-2,2025-12-09,"Земляний М.І.; АТ ""Національна суспільна телерадіокомпанія України""","Надсилається за належністю звернення гр. Земляного М.І.  зі скаргою на те, що по радіо ""Перший Національний"" припинили трансляцію про схід та захід сонця."
3049/23/13,2025-12-09,Міністерство закордонних справ України,Щодо професійного навчання у сфері зовнішніх зносин у 2026 році.
3050/31/05-1,2025-12-09,"ДНУ ""Книжкова палата України імені Івана Федорова""; Державна наукова установа ""Енциклопедичне видавництво""","Надсилаємо для ознайомлення та врахування в роботі лист Міністерства освіти і науки України, що надійшов до Держкомтелерадіо листом Міністерства культури України від 05.12.2025 № 3496/23."
3051/31/04,2025-12-09,ТОВ «ВІХОЛА»,Лист попередження щодо доставляння звітів 1в-книги та обов'язковий примірник видань.
3052/17/03-2,2025-12-09,"ТОВ ""ЗЕОНБУД""; Калениченко А.С.","Надсилається за належністю звернення гр. Калениченка А.С. про неякісну трансляцію каналів українського телебачення, зазначає що канали зависають"
3053/23/06,2025-12-09,Міністерство економічного розвитку і торгівлі України,"Інформація станом на 01.09.2025 щодо затвердження фінансових планів, стратегій розвитку, інвестиційних планів підприємств на середньострокову перспективу (3-5 років) та листів очікувань власника."
3054/23/07,2025-12-09,Міністерство культури України,Інформація щодо уповноважених осіб для заповнення гугл-таблиці щодо інформування  громадськості про заходи із  впровадження безбар'єрності.
3055/23/13,2025-12-09,Міністерство оборони України,"Відомість контролю щодо звіряння облікових даних військовозобов’язаних, оповіщення і прибуття військовозобов’язаних до відповідних територіальних центрів комплектування та соціальної підтримки апарату Держкомтелерадіо, підприємств, установ та товариств сфери управління Держкомтелерадіо."
3056/23/05-1,2025-12-09,Міністерство культури України,Про подання остаточних та  проміжних звітів за результатами виконання наукових робіт у 2025 році.
3057/23/04,2025-12-09,Міністерство культури та стратегічних комунікацій,"Надається Протокол засідання тимчасової робочої групи з додаткового опрацювання питань, порушених в електронній петиції гр. І. Снятинчука."
